ano,mes,estado,regiao,bioma,focos
2015,12,TO,Norte,Cerrado,408
2015,12,AL,Nordeste,Mata Atlântica,76
2015,12,BA,Nordeste,Caatinga,63
2015,12,CE,Nordeste,Caatinga,85
2015,12,MA,Nordeste,Cerrado,396
2015,12,PB,Nordeste,Caatinga,68
2015,12,PE,Nordeste,Caatinga,90
2015,12,PI,Nordeste,Caatinga,60
2015,12,RN,Nordeste,Caatinga,58
2015,12,SE,Nordeste,Caatinga,85
2015,12,GO,Centro-Oeste,Cerrado,345
2015,12,MS,Centro-Oeste,Cerrado,366
2015,12,MT,Centro-Oeste,Cerrado,386
2015,12,ES,Sudeste,Mata Atlântica,110
2015,12,MG,Sudeste,Cerrado,339
2015,12,RJ,Sudeste,Mata Atlântica,74
2015,12,SP,Sudeste,Mata Atlântica,100
2015,12,PR,Sul,Mata Atlântica,71
2015,12,RS,Sul,Pampa,80
2015,12,SC,Sul,Mata Atlântica,60
2016,1,AC,Norte,Amazônia,236
2016,1,AM,Norte,Amazônia,452
2016,1,AP,Norte,Amazônia,423
2016,1,PA,Norte,Amazônia,391
2016,1,RO,Norte,Amazônia,325
2016,1,RR,Norte,Amazônia,270
2016,1,TO,Norte,Cerrado,266
2016,1,AL,Nordeste,Mata Atlântica,72
2016,1,BA,Nordeste,Caatinga,89
2016,1,CE,Nordeste,Caatinga,98
2016,1,MA,Nordeste,Cerrado,383
2016,1,PB,Nordeste,Caatinga,73
2016,1,PE,Nordeste,Caatinga,112
2016,1,PI,Nordeste,Caatinga,100
2016,1,RN,Nordeste,Caatinga,89
2016,1,SE,Nordeste,Caatinga,92
2016,1,GO,Centro-Oeste,Cerrado,327
2016,1,MS,Centro-Oeste,Cerrado,287
2016,1,MT,Centro-Oeste,Cerrado,312
2016,1,ES,Sudeste,Mata Atlântica,101
2016,1,MG,Sudeste,Cerrado,234
2016,1,RJ,Sudeste,Mata Atlântica,64
2016,1,SP,Sudeste,Mata Atlântica,60
2016,1,PR,Sul,Mata Atlântica,60
2016,1,RS,Sul,Pampa,107
2016,1,SC,Sul,Mata Atlântica,98
2016,2,AC,Norte,Amazônia,340
2016,2,AM,Norte,Amazônia,253
2016,2,AP,Norte,Amazônia,344
2016,2,PA,Norte,Amazônia,339
2016,2,RO,Norte,Amazônia,270
2016,2,RR,Norte,Amazônia,330
2016,2,TO,Norte,Cerrado,322
2016,2,AL,Nordeste,Mata Atlântica,93
2016,2,BA,Nordeste,Caatinga,94
2016,2,CE,Nordeste,Caatinga,60
2016,2,MA,Nordeste,Cerrado,317
2016,2,PB,Nordeste,Caatinga,93
2016,2,PE,Nordeste,Caatinga,86
2016,2,PI,Nordeste,Caatinga,107
2016,2,RN,Nordeste,Caatinga,95
2016,2,SE,Nordeste,Caatinga,67
2016,2,GO,Centro-Oeste,Cerrado,247
2016,2,MS,Centro-Oeste,Cerrado,378
2016,2,MT,Centro-Oeste,Cerrado,236
2016,2,ES,Sudeste,Mata Atlântica,91
2016,2,MG,Sudeste,Cerrado,447
2016,2,RJ,Sudeste,Mata Atlântica,90
2016,2,SP,Sudeste,Mata Atlântica,80
2016,2,PR,Sul,Mata Atlântica,94
2016,2,RS,Sul,Pampa,84
2016,2,SC,Sul,Mata Atlântica,89
2016,3,AC,Norte,Amazônia,447
2016,3,AM,Norte,Amazônia,319
2016,3,AP,Norte,Amazônia,452
2016,3,PA,Norte,Amazônia,439
2016,3,RO,Norte,Amazônia,275
2016,3,RR,Norte,Amazônia,246
2016,3,TO,Norte,Cerrado,253
2016,3,AL,Nordeste,Mata Atlântica,58
2016,3,BA,Nordeste,Caatinga,63
2016,3,CE,Nordeste,Caatinga,97
2016,3,MA,Nordeste,Cerrado,247
2016,3,PB,Nordeste,Caatinga,76
2016,3,PE,Nordeste,Caatinga,106
2016,3,PI,Nordeste,Caatinga,59
2016,3,RN,Nordeste,Caatinga,104
2016,3,SE,Nordeste,Caatinga,73
2016,3,GO,Centro-Oeste,Cerrado,257
2016,3,MS,Centro-Oeste,Cerrado,391
2016,3,MT,Centro-Oeste,Cerrado,375
2016,3,ES,Sudeste,Mata Atlântica,108
2016,3,MG,Sudeste,Cerrado,400
2016,3,RJ,Sudeste,Mata Atlântica,104
2016,3,SP,Sudeste,Mata Atlântica,73
2016,3,PR,Sul,Mata Atlântica,67
2016,3,RS,Sul,Pampa,100
2016,3,SC,Sul,Mata Atlântica,104
2016,4,AC,Norte,Amazônia,459
2016,4,AM,Norte,Amazônia,325
2016,4,AP,Norte,Amazônia,316
2016,4,PA,Norte,Amazônia,409
2016,4,RO,Norte,Amazônia,309
2016,4,RR,Norte,Amazônia,445
2016,4,TO,Norte,Cerrado,428
2016,4,AL,Nordeste,Mata Atlântica,82
2016,4,BA,Nordeste,Caatinga,100
2016,4,CE,Nordeste,Caatinga,101
2016,4,MA,Nordeste,Cerrado,254
2016,4,PB,Nordeste,Caatinga,109
2016,4,PE,Nordeste,Caatinga,86
2016,4,PI,Nordeste,Caatinga,105
2016,4,RN,Nordeste,Caatinga,76
2016,4,SE,Nordeste,Caatinga,109
2016,4,GO,Centro-Oeste,Cerrado,320
2016,4,MS,Centro-Oeste,Cerrado,233
2016,4,MT,Centro-Oeste,Cerrado,439
2016,4,ES,Sudeste,Mata Atlântica,62
2016,4,MG,Sudeste,Cerrado,304
2016,4,RJ,Sudeste,Mata Atlântica,112
2016,4,SP,Sudeste,Mata Atlântica,112
2016,4,PR,Sul,Mata Atlântica,90
2016,4,RS,Sul,Pampa,94
2016,4,SC,Sul,Mata Atlântica,83
2016,5,AC,Norte,Amazônia,298
2016,5,AM,Norte,Amazônia,306
2016,5,AP,Norte,Amazônia,385
2016,5,PA,Norte,Amazônia,404
2016,5,RO,Norte,Amazônia,413
2016,5,RR,Norte,Amazônia,412
2016,5,TO,Norte,Cerrado,251
2016,5,AL,Nordeste,Mata Atlântica,86
2016,5,BA,Nordeste,Caatinga,60
2016,5,CE,Nordeste,Caatinga,89
2016,5,MA,Nordeste,Cerrado,332
2016,5,PB,Nordeste,Caatinga,108
2016,5,PE,Nordeste,Caatinga,77
2016,5,PI,Nordeste,Caatinga,64
2016,5,RN,Nordeste,Caatinga,65
2016,5,SE,Nordeste,Caatinga,101
2016,5,GO,Centro-Oeste,Cerrado,373
2016,5,MS,Centro-Oeste,Cerrado,254
2016,5,MT,Centro-Oeste,Cerrado,250
2016,5,ES,Sudeste,Mata Atlântica,98
2016,5,MG,Sudeste,Cerrado,247
2016,5,RJ,Sudeste,Mata Atlântica,105
2016,5,SP,Sudeste,Mata Atlântica,98
2016,5,PR,Sul,Mata Atlântica,62
2016,5,RS,Sul,Pampa,62
2016,5,SC,Sul,Mata Atlântica,114
2016,6,AC,Norte,Amazônia,317
2016,6,AM,Norte,Amazônia,316
2016,6,AP,Norte,Amazônia,418
2016,6,PA,Norte,Amazônia,449
2016,6,RO,Norte,Amazônia,458
2016,6,RR,Norte,Amazônia,404
2016,6,TO,Norte,Cerrado,317
2016,6,AL,Nordeste,Mata Atlântica,62
2016,6,BA,Nordeste,Caatinga,102
2016,6,CE,Nordeste,Caatinga,89
2016,6,MA,Nordeste,Cerrado,328
2016,6,PB,Nordeste,Caatinga,109
2016,6,PE,Nordeste,Caatinga,64
2016,6,PI,Nordeste,Caatinga,86
2016,6,RN,Nordeste,Caatinga,58
2016,6,SE,Nordeste,Caatinga,84
2016,6,GO,Centro-Oeste,Cerrado,243
2016,6,MS,Centro-Oeste,Cerrado,258
2016,6,MT,Centro-Oeste,Cerrado,257
2016,6,ES,Sudeste,Mata Atlântica,95
2016,6,MG,Sudeste,Cerrado,402
2016,6,RJ,Sudeste,Mata Atlântica,91
2016,6,SP,Sudeste,Mata Atlântica,113
2016,6,PR,Sul,Mata Atlântica,79
2016,6,RS,Sul,Pampa,74
2016,6,SC,Sul,Mata Atlântica,107
2016,7,AC,Norte,Amazônia,1764
2016,7,AM,Norte,Amazônia,2830
2016,7,AP,Norte,Amazônia,1459
2016,7,PA,Norte,Amazônia,2840
2016,7,RO,Norte,Amazônia,1504
2016,7,RR,Norte,Amazônia,2727
2016,7,TO,Norte,Cerrado,2202
2016,7,AL,Nordeste,Mata Atlântica,718
2016,7,BA,Nordeste,Caatinga,387
2016,7,CE,Nordeste,Caatinga,560
2016,7,MA,Nordeste,Cerrado,2839
2016,7,PB,Nordeste,Caatinga,549
2016,7,PE,Nordeste,Caatinga,587
2016,7,PI,Nordeste,Caatinga,611
2016,7,RN,Nordeste,Caatinga,524
2016,7,SE,Nordeste,Caatinga,586
2016,7,GO,Centro-Oeste,Cerrado,2284
2016,7,MS,Centro-Oeste,Cerrado,2741
2016,7,MT,Centro-Oeste,Cerrado,1507
2016,7,ES,Sudeste,Mata Atlântica,461
2016,7,MG,Sudeste,Cerrado,2812
2016,7,RJ,Sudeste,Mata Atlântica,681
2016,7,SP,Sudeste,Mata Atlântica,524
2016,7,PR,Sul,Mata Atlântica,584
2016,7,RS,Sul,Pampa,460
2016,7,SC,Sul,Mata Atlântica,428
2016,8,AC,Norte,Amazônia,2110
2016,8,AM,Norte,Amazônia,1951
2016,8,AP,Norte,Amazônia,2283
2016,8,PA,Norte,Amazônia,1554
2016,8,RO,Norte,Amazônia,2847
2016,8,RR,Norte,Amazônia,2864
2016,8,TO,Norte,Cerrado,2448
2016,8,AL,Nordeste,Mata Atlântica,553
2016,8,BA,Nordeste,Caatinga,472
2016,8,CE,Nordeste,Caatinga,653
2016,8,MA,Nordeste,Cerrado,2429
2016,8,PB,Nordeste,Caatinga,419
2016,8,PE,Nordeste,Caatinga,688
2016,8,PI,Nordeste,Caatinga,657
2016,8,RN,Nordeste,Caatinga,702
2016,8,SE,Nordeste,Caatinga,622
2016,8,GO,Centro-Oeste,Cerrado,2326
2016,8,MS,Centro-Oeste,Cerrado,2045
2016,8,MT,Centro-Oeste,Cerrado,2786
2016,8,ES,Sudeste,Mata Atlântica,672
2016,8,MG,Sudeste,Cerrado,1507
2016,8,RJ,Sudeste,Mata Atlântica,370
2016,8,SP,Sudeste,Mata Atlântica,496
2016,8,PR,Sul,Mata Atlântica,652
2016,8,RS,Sul,Pampa,716
2016,8,SC,Sul,Mata Atlântica,414
2016,9,AC,Norte,Amazônia,2298
2016,9,AM,Norte,Amazônia,1991
2016,9,AP,Norte,Amazônia,2840
2016,9,PA,Norte,Amazônia,2656
2016,9,RO,Norte,Amazônia,2650
2016,9,RR,Norte,Amazônia,2117
2016,9,TO,Norte,Cerrado,2040
2016,9,AL,Nordeste,Mata Atlântica,459
2016,9,BA,Nordeste,Caatinga,380
2016,9,CE,Nordeste,Caatinga,672
2016,9,MA,Nordeste,Cerrado,2614
2016,9,PB,Nordeste,Caatinga,720
2016,9,PE,Nordeste,Caatinga,719
2016,9,PI,Nordeste,Caatinga,560
2016,9,RN,Nordeste,Caatinga,637
2016,9,SE,Nordeste,Caatinga,701
2016,9,GO,Centro-Oeste,Cerrado,2667
2016,9,MS,Centro-Oeste,Cerrado,1798
2016,9,MT,Centro-Oeste,Cerrado,2091
2016,9,ES,Sudeste,Mata Atlântica,407
2016,9,MG,Sudeste,Cerrado,2817
2016,9,RJ,Sudeste,Mata Atlântica,579
2016,9,SP,Sudeste,Mata Atlântica,442
2016,9,PR,Sul,Mata Atlântica,602
2016,9,RS,Sul,Pampa,583
2016,9,SC,Sul,Mata Atlântica,489
2016,10,AC,Norte,Amazônia,1605
2016,10,AM,Norte,Amazônia,2410
2016,10,AP,Norte,Amazônia,2192
2016,10,PA,Norte,Amazônia,2555
2016,10,RO,Norte,Amazônia,2192
2016,10,RR,Norte,Amazônia,2670
2016,10,TO,Norte,Cerrado,2237
2016,10,AL,Nordeste,Mata Atlântica,562
2016,10,BA,Nordeste,Caatinga,676
2016,10,CE,Nordeste,Caatinga,505
2016,10,MA,Nordeste,Cerrado,1635
2016,10,PB,Nordeste,Caatinga,370
2016,10,PE,Nordeste,Caatinga,632
2016,10,PI,Nordeste,Caatinga,584
2016,10,RN,Nordeste,Caatinga,614
2016,10,SE,Nordeste,Caatinga,437
2016,10,GO,Centro-Oeste,Cerrado,1638
2016,10,MS,Centro-Oeste,Cerrado,1462
2016,10,MT,Centro-Oeste,Cerrado,1947
2016,10,ES,Sudeste,Mata Atlântica,573
2016,10,MG,Sudeste,Cerrado,2007
2016,10,RJ,Sudeste,Mata Atlântica,518
2016,10,SP,Sudeste,Mata Atlântica,686
2016,10,PR,Sul,Mata Atlântica,486
2016,10,RS,Sul,Pampa,545
2016,10,SC,Sul,Mata Atlântica,643
2016,11,AC,Norte,Amazônia,322
2016,11,AM,Norte,Amazônia,374
2016,11,AP,Norte,Amazônia,429
2016,11,PA,Norte,Amazônia,449
2016,11,RO,Norte,Amazônia,264
2016,11,RR,Norte,Amazônia,444
2016,11,TO,Norte,Cerrado,344
2016,11,AL,Nordeste,Mata Atlântica,72
2016,11,BA,Nordeste,Caatinga,84
2016,11,CE,Nordeste,Caatinga,114
2016,11,MA,Nordeste,Cerrado,344
2016,11,PB,Nordeste,Caatinga,76
2016,11,PE,Nordeste,Caatinga,94
2016,11,PI,Nordeste,Caatinga,71
2016,11,RN,Nordeste,Caatinga,62
2016,11,SE,Nordeste,Caatinga,65
2016,11,GO,Centro-Oeste,Cerrado,260
2016,11,MS,Centro-Oeste,Cerrado,265
2016,11,MT,Centro-Oeste,Cerrado,262
2016,11,ES,Sudeste,Mata Atlântica,94
2016,11,MG,Sudeste,Cerrado,272
2016,11,RJ,Sudeste,Mata Atlântica,77
2016,11,SP,Sudeste,Mata Atlântica,109
2016,11,PR,Sul,Mata Atlântica,85
2016,11,RS,Sul,Pampa,96
2016,11,SC,Sul,Mata Atlântica,67
2016,12,AC,Norte,Amazônia,275
2016,12,AM,Norte,Amazônia,240
2016,12,AP,Norte,Amazônia,269
2016,12,PA,Norte,Amazônia,294
2016,12,RO,Norte,Amazônia,271
2016,12,RR,Norte,Amazônia,251
2016,12,TO,Norte,Cerrado,258
2016,12,AL,Nordeste,Mata Atlântica,84
2016,12,BA,Nordeste,Caatinga,69
2016,12,CE,Nordeste,Caatinga,78
2016,12,MA,Nordeste,Cerrado,346
2016,12,PB,Nordeste,Caatinga,97
2016,12,PE,Nordeste,Caatinga,59
2016,12,PI,Nordeste,Caatinga,103
2016,12,RN,Nordeste,Caatinga,93
2016,12,SE,Nordeste,Caatinga,62
2016,12,GO,Centro-Oeste,Cerrado,432
2016,12,MS,Centro-Oeste,Cerrado,443
2016,12,MT,Centro-Oeste,Cerrado,244
2016,12,ES,Sudeste,Mata Atlântica,73
2016,12,MG,Sudeste,Cerrado,416
2016,12,RJ,Sudeste,Mata Atlântica,100
2016,12,SP,Sudeste,Mata Atlântica,68
2016,12,PR,Sul,Mata Atlântica,69
